Geographic Area,City,Median Income
AK,Hope CDP,-
AK,Houston,50438
AK,Hughes,32500
AK,Huslia,42000
AK,Hydaburg,31250
AK,Hyder CDP,-
AK,Igiugig CDP,51250
AK,Iliamna CDP,68750
AK,Ivanof Bay CDP,-
AK,Juneau and borough,85746
AK,Kachemak,70625
AK,Kake,40417
AK,Kaktovik,48125
AK,Kalifornsky CDP,72335
AK,Kaltag,28750
AK,Karluk CDP,20938
AK,Kasaan,49286
AK,Kasigluk CDP,43750
AK,Kasilof CDP,65893
AK,Kenai,62236
AK,Kenny Lake CDP,(X)
AK,Ketchikan,53111
AK,Kiana,41250
AK,King Cove,63667
AK,King Salmon CDP,81563
AK,Kipnuk CDP,34583
AK,Kivalina,52917
AK,Klawock,38125
AK,Klukwan CDP,50000
AK,Knik-Fairview CDP,82858
AK,Knik River CDP,68250
AK,Kobuk,43333
AK,Kodiak,62934
AK,Kodiak Station CDP,61923
AK,Kokhanok CDP,32083
AK,Koliganek CDP,40000
AK,Kongiganak CDP,37679
AK,Kotlik,39583
AK,Kotzebue,87708
AK,Koyuk,33182
AK,Koyukuk,17083
AK,Kupreanof,52083
AK,Kwethluk,44063
AK,Kwigillingok CDP,42188
AK,Lake Louise CDP,-
AK,Lake Minchumina CDP,82813
AK,Lakes CDP,83574
AK,Larsen Bay,47917
AK,Lazy Mountain CDP,82109
AK,Levelock CDP,37813
AK,Lime Village CDP,(X)
AK,Livengood CDP,-
AK,Loring CDP,-
AK,Lowell Point CDP,-
AK,Lower Kalskag,30536
AK,Lutak CDP,-
AK,McCarthy CDP,-
AK,McGrath,64792
AK,McKinley Park CDP,78750
AK,Manley Hot Springs CDP,54375
AK,Manokotak,36667
AK,Marshall,36875
AK,Meadow Lakes CDP,65850
AK,Mekoryuk,24750
AK,Mendeltna CDP,-
AK,Mentasta Lake CDP,21250
AK,Mertarvik CDP,-
AK,Metlakatla CDP,49924
AK,Minto CDP,32250
AK,Moose Creek CDP,51369
AK,Moose Pass CDP,102750
AK,Mosquito Lake CDP,31736
AK,Mountain Village,39205
AK,Mud Bay CDP,119423
AK,Nabesna CDP,-
AK,Naknek CDP,79750
AK,Nanwalek CDP,33542
AK,Napakiak,24167
AK,Napaskiak,30625
AK,Naukati Bay CDP,(X)
AK,Nelchina CDP,41964
AK,Nelson Lagoon CDP,74375
AK,Nenana,43250
AK,New Allakaket CDP,26250
AK,Newhalen,56250
AK,New Stuyahok,42813
AK,Newtok CDP,38125
AK,Nightmute,39375
AK,Nikiski CDP,70909
AK,Nikolaevsk CDP,23125
AK,Nikolai,36875
AK,Nikolski CDP,35000
AK,Ninilchik CDP,49659
AK,Noatak CDP,51250
AK,Nome,76389
AK,Nondalton,30833
AK,Noorvik,40833
AK,North Pole,70536
AK,Northway CDP,51250
AK,Northway Junction CDP,57500
AK,Northway Village CDP,20000
AK,Nuiqsut,80938
AK,Nulato,38281
AK,Nunam Iqua,41250
AK,Nunapitchuk,35833
AK,Old Harbor,33750
AK,Oscarville CDP,(X)
AK,Ouzinkie,34464
AK,Palmer,61797
AK,Paxson CDP,-
AK,Pedro Bay CDP,56667
AK,Pelican,66667
AK,Perryville CDP,38125
AK,Petersburg CDP,68641
AK,Petersville CDP,-
AK,Pilot Point,28750
AK,Pilot Station,33125
AK,Pitkas Point CDP,47500
AK,Platinum,44063
AK,Pleasant Valley CDP,68929
AK,Point Baker CDP,-
AK,Point Hope,57292
AK,Point Lay CDP,61563
AK,Point MacKenzie CDP,78500
AK,Point Possession CDP,-
AK,Pope-Vannoy Landing CDP,-
AK,Portage Creek CDP,-
AK,Port Alexander,82813
AK,Port Alsworth CDP,63750
AK,Port Clarence CDP,-
AK,Port Graham CDP,30000
AK,Port Heiden,59375
AK,Port Lions,41042
AK,Port Protection CDP,(X)
AK,Primrose CDP,81458
AK,Prudhoe Bay CDP,-
AK,Quinhagak,31719
AK,Rampart CDP,-
AK,Red Devil CDP,51875
AK,Red Dog Mine CDP,-
AK,Ridgeway CDP,103203
AK,Ruby,24688
AK,Russian Mission,36563
AK,St. George,53750
AK,St. Mary's,42500
AK,St. Michael,33125
AK,St. Paul,57708
AK,Salamatof CDP,61458
AK,Salcha CDP,79167
